,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country
35272,2,2,4,2,4,4,3,2,4,2,2,2,4,2,2,3,3,2,2,4,1,2,26,1,90,US
35274,3,2,4,1,2,3,4,1,2,1,1,1,1,2,1,1,1,1,2,4,4,1,34,2,90,US
35275,2,4,4,2,2,2,4,2,4,2,1,2,2,4,4,2,2,2,2,2,4,2,34,1,99,US
35276,5,2,4,3,4,4,4,4,4,3,3,2,4,4,4,4,3,4,4,5,4,3,25,2,75,US
35277,5,4,4,2,4,4,4,4,4,2,0,4,2,2,0,4,4,2,4,5,4,2,33,2,80,US
35278,5,4,4,4,4,5,4,5,2,4,1,2,4,5,1,1,1,1,4,4,2,3,30,3,90,GB
35279,4,2,3,2,4,4,2,4,3,2,3,2,4,5,2,1,1,1,2,3,3,2,29,1,60,GB
35280,2,2,1,2,2,2,4,2,4,2,1,1,4,4,4,4,4,5,4,4,4,2,19,2,79,US
35282,2,2,4,2,2,4,4,2,4,2,3,2,2,5,4,4,4,2,3,4,4,3,17,1,80,GB
35283,4,2,1,4,4,4,2,5,5,5,5,4,4,4,5,3,4,4,5,4,4,5,25,1,80,US
35284,5,5,4,2,3,5,5,4,5,4,2,2,4,5,5,5,4,4,5,2,5,4,25,1,80,US
35285,5,5,5,3,4,4,5,4,5,2,1,1,4,4,5,2,4,4,2,2,2,2,23,2,75,AU
35286,2,5,5,5,4,2,5,4,3,3,4,4,4,2,5,5,5,2,5,5,1,2,46,1,90,GB
35287,4,2,3,4,4,4,4,2,4,2,2,4,4,5,2,2,2,2,2,2,4,2,33,1,99,US
35288,5,2,2,5,4,5,2,4,5,1,5,5,2,5,5,5,4,4,5,5,5,5,26,2,95,GB
35289,4,3,4,2,2,5,4,3,4,2,3,1,5,5,4,4,2,3,4,4,4,2,21,1,70,DE
35290,4,2,3,4,4,5,4,3,4,3,3,3,4,4,5,4,5,4,5,5,4,4,22,1,95,US
35292,4,5,5,2,4,4,4,4,2,4,1,1,2,0,4,3,4,4,3,4,1,5,48,2,75,US
35293,5,4,2,4,3,5,4,4,4,4,5,3,4,3,5,5,4,4,4,4,4,3,22,1,92,US
35294,3,2,2,4,4,0,2,3,5,4,1,3,2,2,4,4,4,5,2,4,4,3,44,2,90,AU
35295,4,1,2,3,1,5,4,1,4,1,2,1,4,5,5,5,4,4,4,4,5,1,22,2,98,CA
35296,5,4,5,4,1,0,2,1,5,2,1,0,1,5,3,0,1,1,1,1,2,2,54,2,99,US
35297,3,3,2,2,3,4,3,2,3,1,2,1,3,4,2,3,2,1,2,1,1,1,42,2,90,US
35298,1,5,1,2,1,5,5,1,5,1,1,1,1,1,5,5,5,4,1,2,2,1,44,2,70,US
35299,5,2,1,4,2,4,4,4,4,2,2,2,2,5,4,3,4,4,4,4,4,3,24,2,80,SG
35300,4,4,3,2,3,3,3,2,2,2,1,1,1,2,4,2,2,1,1,2,3,1,69,2,75,US
35302,5,2,4,2,3,5,4,4,4,3,3,4,4,4,5,5,5,4,4,5,5,3,21,1,95,US
35303,4,4,4,2,2,2,2,4,4,2,2,2,2,4,4,2,2,2,2,4,4,2,73,1,90,US
35304,5,5,2,2,2,4,4,4,4,2,2,2,4,4,5,5,5,4,4,2,4,3,71,2,85,US
35305,4,4,4,3,4,5,4,5,3,4,4,3,4,5,4,3,3,3,4,4,3,3,36,2,75,US
35306,2,2,5,1,2,4,3,4,3,1,1,2,3,4,4,3,3,3,3,3,3,2,39,1,80,GB
35308,3,2,2,4,3,4,3,4,4,4,4,5,5,5,5,5,4,2,4,4,4,4,16,2,90,GB
35309,4,5,4,2,2,4,5,4,3,2,1,2,1,2,5,4,4,4,4,2,4,2,48,2,95,US
35310,4,4,4,3,4,4,2,3,4,2,4,3,3,4,4,4,3,4,3,4,2,3,44,1,90,US
35311,4,4,5,1,1,5,4,1,4,1,1,1,1,2,4,4,1,1,1,5,1,1,17,1,85,US
35312,2,4,3,1,2,2,4,2,4,2,1,1,3,4,1,1,1,1,1,3,4,1,41,2,90,US
35313,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,2,4,4,3,44,1,90,US
35314,4,5,5,2,2,5,4,2,3,1,3,2,4,3,4,3,2,1,1,5,4,2,4,1,65,US
35315,5,2,2,3,2,4,3,2,3,2,1,2,4,4,4,2,3,2,2,4,4,3,32,1,85,US
35316,3,2,5,1,4,5,4,2,5,2,2,2,3,5,4,2,3,1,5,4,4,2,26,1,90,CA
35317,2,1,1,2,4,5,3,5,2,3,5,2,2,5,5,4,4,4,4,4,4,3,29,1,80,GB
35318,4,2,4,0,5,5,1,4,4,2,4,4,4,4,4,3,2,1,2,4,3,2,23,2,85,CA
35319,5,5,4,2,3,5,5,4,4,2,1,4,3,5,4,5,5,3,4,5,5,3,55,1,80,US
35320,3,1,5,1,1,5,3,2,4,1,4,4,2,4,3,1,1,4,2,4,4,1,16,1,95,US
35321,4,4,5,4,3,4,5,3,4,2,2,2,1,4,5,5,3,2,4,4,4,4,38,2,80,US
35322,4,4,3,2,2,4,4,3,4,4,2,2,4,4,4,4,3,2,2,3,4,2,45,1,7,US
35323,2,4,4,2,2,2,4,2,5,2,1,1,1,4,4,3,2,3,1,4,4,1,39,2,90,US
35325,4,2,4,1,2,4,4,2,4,2,1,1,1,4,4,4,1,2,3,2,1,2,55,1,85,GB
35326,5,5,4,4,1,5,5,2,4,1,1,2,3,4,5,5,5,4,1,2,4,1,41,1,85,US
35327,2,1,5,3,1,2,2,1,2,1,1,2,2,3,4,3,1,2,3,4,2,2,16,2,95,GB
35328,4,4,4,2,2,4,4,2,4,2,2,2,3,5,4,3,3,2,4,4,4,3,35,1,85,US
35329,4,4,5,3,3,4,5,4,4,2,3,3,4,5,5,4,4,4,4,4,5,4,19,2,86,US
35330,4,4,4,2,2,4,5,3,3,2,2,2,2,4,2,1,1,2,3,4,4,3,44,2,80,US
35331,4,4,4,4,4,5,5,4,4,4,2,4,4,5,5,5,5,2,4,5,5,4,22,1,90,CA
35332,4,4,4,4,3,4,2,2,4,2,5,2,4,4,4,4,4,4,5,4,5,4,25,1,85,US
35333,4,2,4,4,4,4,4,4,2,4,5,2,4,4,4,2,4,2,4,4,4,2,33,2,90,US
35334,3,4,2,5,2,5,3,3,2,1,1,1,4,1,4,5,5,2,1,1,2,1,37,2,89,BR
35335,5,1,1,1,5,5,2,3,1,1,5,3,4,5,1,1,5,1,1,2,1,1,25,1,75,US
35337,4,4,4,2,1,2,4,2,2,4,1,1,2,4,3,2,2,1,4,4,4,2,40,2,90,US
35338,5,3,3,3,2,4,3,2,3,1,2,1,1,3,4,2,1,1,4,4,4,1,24,1,8,US
35339,2,1,2,2,4,4,2,3,4,2,5,4,4,3,4,4,4,3,4,4,5,4,23,1,75,US
35340,4,4,2,2,4,5,4,2,3,2,1,2,3,4,3,3,2,1,4,2,4,2,42,2,75,US
35341,3,2,2,2,3,4,2,2,3,4,4,2,4,4,4,3,4,2,2,2,4,2,30,1,85,US
35342,3,4,4,3,2,4,4,2,3,3,2,2,2,4,4,4,4,2,2,2,4,2,54,2,100,US
35343,5,4,5,2,5,5,5,5,5,4,5,2,5,4,4,4,5,2,2,4,5,4,37,1,90,US
35344,4,3,4,3,3,4,4,4,4,3,2,3,3,4,4,4,4,5,3,4,4,3,29,1,95,FI
35345,2,4,4,3,5,5,4,5,5,3,1,2,1,5,3,1,4,1,2,5,1,3,24,3,70,SE
35346,5,3,3,2,5,4,4,5,4,2,4,2,4,2,3,2,2,1,1,2,1,2,35,1,95,US
35347,4,3,4,2,3,2,3,2,4,2,2,2,2,3,4,2,2,2,3,3,3,2,42,2,75,CA
35348,2,1,2,5,4,4,2,3,3,3,2,3,2,5,1,2,3,2,4,4,4,3,19,1,95,US
35349,4,4,5,4,4,4,4,4,4,4,4,5,4,5,2,2,4,2,4,4,3,4,20,2,75,US
35352,3,4,4,3,1,4,3,2,4,1,1,1,4,3,4,4,3,3,2,2,3,1,24,2,90,SE
35353,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,54,1,90,US
35354,5,5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,3,33,1,80,US
35355,3,2,2,5,5,4,2,4,4,4,4,3,4,4,5,4,5,4,4,5,5,4,40,1,88,US
35357,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,2,4,4,3,35,1,79,US
35358,2,5,4,4,3,4,2,2,4,2,4,4,2,4,3,3,2,2,4,4,4,3,48,2,80,US
35359,4,4,4,4,2,4,4,4,4,2,1,1,1,3,4,4,2,3,4,5,4,3,30,2,85,US
35360,2,5,4,2,4,4,4,4,5,3,2,3,5,5,5,3,3,4,4,4,4,4,25,1,93,SE
35361,4,4,4,3,1,3,5,4,5,1,1,2,2,1,5,5,5,5,3,4,5,4,20,2,75,US
35362,4,2,5,2,2,2,4,2,4,1,5,5,4,5,4,4,2,2,2,4,2,2,19,2,80,GB
35363,5,2,4,3,2,5,4,3,4,4,4,5,2,4,4,1,3,4,4,5,2,4,22,1,97,US
35364,1,3,3,3,4,3,3,2,3,3,2,2,3,4,4,3,3,3,2,4,3,3,19,1,86,US
35365,5,4,1,1,0,3,4,3,1,1,4,3,1,4,4,3,5,3,4,5,4,3,45,1,90,CA
35366,2,4,4,2,4,4,5,4,1,2,4,5,4,4,2,2,2,1,1,2,4,2,46,1,90,US
35367,5,5,5,3,5,5,5,5,5,5,2,5,1,5,1,5,4,4,5,4,3,3,15,2,99,GB
35368,2,2,3,2,3,4,2,2,2,3,2,2,3,3,4,3,4,2,3,4,2,1,54,1,85,US
35369,4,2,2,2,3,3,2,4,4,3,2,2,4,4,2,2,2,2,2,4,4,2,42,1,98,US
35370,3,4,4,2,4,4,4,3,3,2,4,3,4,4,4,4,5,4,2,4,4,3,20,1,75,US
35371,5,3,2,4,5,4,4,3,2,5,4,2,5,5,3,3,4,2,5,3,2,3,37,1,70,US
35372,3,4,2,2,3,2,4,2,4,2,3,1,2,1,4,4,2,1,1,5,3,1,21,2,50,CA
35373,2,4,4,3,2,5,4,2,4,2,2,2,2,2,5,5,5,3,4,4,4,2,24,1,80,US
35374,5,5,5,2,4,4,5,4,5,4,2,2,5,4,5,5,5,4,4,4,5,2,38,1,95,US
35375,2,4,4,2,2,2,4,2,3,2,1,1,1,4,3,3,2,1,2,3,4,1,56,2,50,US
35376,1,4,5,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,55,2,95,US
35377,2,4,4,4,1,4,4,2,4,2,2,1,4,4,2,2,3,2,1,2,2,1,0,2,89,US
35378,2,4,3,2,2,3,3,2,4,3,1,1,3,2,2,3,2,2,1,2,3,1,60,2,90,US
35379,2,2,4,3,3,5,4,4,2,1,4,2,4,5,3,2,3,2,2,1,2,2,48,1,20,US
35380,4,2,4,3,5,5,5,4,3,4,4,5,4,4,4,4,4,4,4,5,3,4,22,1,99,US
35381,4,3,3,3,4,2,4,2,3,2,1,1,2,4,3,2,2,2,1,4,4,2,28,2,90,US
35383,4,3,4,1,4,2,4,3,2,2,2,1,4,4,4,2,4,3,4,4,4,2,38,1,90,US
35384,4,4,3,2,4,4,3,4,2,2,4,2,4,4,4,2,2,2,2,4,2,1,48,1,90,US
35385,4,2,4,2,2,4,0,2,3,4,3,2,3,4,4,2,0,1,3,5,3,1,27,2,90,US
35386,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,4,5,5,4,5,5,2,35,2,100,US
35387,2,2,2,1,2,3,2,2,2,2,1,1,1,1,2,2,2,2,1,1,4,1,59,1,80,US
35388,4,2,2,3,3,4,4,3,3,2,5,4,3,5,2,2,2,3,3,4,4,3,466,1,93,US
35389,4,4,4,3,4,4,5,4,3,4,4,4,3,5,4,4,3,4,5,4,3,4,43,1,95,US
35390,4,4,2,3,4,4,4,4,4,2,2,2,3,4,4,4,4,3,4,4,3,3,19,1,90,GB
35391,2,4,4,2,4,4,4,4,2,4,4,2,4,3,2,2,2,2,2,4,4,2,34,1,100,US
35392,3,2,2,3,4,3,2,2,4,3,3,3,4,4,2,2,3,2,4,4,3,3,25,1,85,US
35393,3,5,4,3,5,3,2,2,3,2,1,1,1,4,3,4,1,3,1,1,2,1,60,1,100,US
35394,5,5,5,3,2,4,5,3,4,1,1,1,2,4,3,3,1,2,4,3,3,3,31,2,8,US
35395,5,5,5,3,5,5,4,4,5,2,1,1,2,4,5,5,4,4,3,5,4,1,28,1,90,US
35396,4,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,24,1,85,US
35397,2,2,1,2,3,4,4,2,3,3,3,2,2,4,4,4,2,2,3,4,4,3,46,1,100,US
35398,4,4,4,4,3,4,4,3,4,3,2,4,3,4,4,2,2,2,3,4,3,3,67,2,80,US
35399,5,4,5,5,4,5,4,4,5,2,2,3,3,5,3,3,4,4,3,5,4,2,24,2,95,GB
35400,5,4,4,4,3,5,4,4,4,2,2,3,2,5,4,4,3,4,4,4,4,3,46,2,96,GB
35401,5,1,5,4,1,5,2,1,3,2,3,3,3,4,4,4,5,4,3,5,5,2,16,2,100,NL
35402,2,3,4,3,3,3,3,1,3,1,1,1,2,4,5,5,5,3,3,2,5,2,59,1,90,US
35403,4,4,3,3,5,5,5,5,3,4,5,4,5,4,5,3,5,4,4,5,4,4,28,1,92,US
35404,2,3,1,3,2,3,4,4,3,3,2,1,2,4,4,4,5,3,1,1,2,3,51,1,95,US
35405,4,4,4,3,4,4,4,3,2,2,2,2,2,4,3,2,2,3,4,4,2,2,43,1,90,US
35406,3,2,1,2,3,3,4,2,2,3,2,3,4,2,4,4,2,2,3,4,4,2,19,2,85,AU
35407,5,2,2,4,4,5,2,4,3,5,4,3,3,3,4,3,4,4,4,4,4,3,31,3,21,US
35408,4,4,4,2,2,4,4,4,4,2,2,5,3,4,4,4,2,2,1,2,2,2,57,1,80,US
35409,4,2,4,4,4,3,3,3,4,5,4,4,4,5,5,3,5,4,2,5,4,4,23,1,80,US
35410,5,2,4,4,5,4,4,4,5,4,5,4,5,5,5,4,5,2,5,4,4,5,19,1,94,US
35411,5,5,5,4,4,4,5,5,5,2,3,2,5,5,5,5,5,5,5,4,3,2,31,2,90,US
35412,1,5,5,2,2,5,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,59,2,100,US
35413,5,3,5,5,4,5,5,4,3,1,4,5,5,4,4,1,4,3,3,5,3,4,30,1,80,US
35414,2,4,4,2,2,1,4,1,3,1,1,1,1,4,5,4,2,4,2,4,4,2,51,1,90,US
35415,5,4,4,4,4,5,4,4,3,2,2,4,3,5,2,1,2,4,4,5,2,2,26,2,90,US
35416,1,2,2,2,2,5,2,1,3,1,3,1,2,1,3,3,3,2,4,4,5,3,21,1,90,US
35418,5,4,5,4,5,4,4,5,4,4,2,4,4,4,5,3,2,2,4,1,2,3,30,1,80,US
35419,5,1,3,2,5,4,4,5,4,5,4,3,5,5,5,4,2,3,4,4,4,3,35,1,95,US
35420,5,1,1,1,2,5,1,5,5,5,2,2,4,3,1,1,3,3,4,5,5,4,27,2,100,GB
35421,4,2,3,2,4,4,2,3,4,2,4,4,4,2,2,3,2,2,3,4,3,2,17,1,50,BR
35422,5,5,5,4,3,5,5,4,4,1,1,1,2,5,5,4,2,1,2,2,2,1,39,2,90,US
35423,4,2,3,2,1,4,3,1,4,2,1,1,1,2,4,4,3,1,2,2,4,1,27,1,95,US
35424,2,2,2,3,4,5,2,5,4,5,4,2,3,4,3,3,2,2,4,4,2,3,22,2,85,US
35425,5,2,4,2,2,4,2,2,2,1,1,1,1,1,4,4,2,2,1,5,2,2,37,2,90,US
35427,4,4,3,3,1,3,3,1,3,1,1,1,2,3,2,2,1,1,3,4,4,2,24,1,7,US
35428,3,4,5,5,2,5,5,2,5,4,1,1,1,4,4,5,4,5,4,5,5,2,16,2,70,US
35429,5,5,5,4,5,5,5,5,5,4,3,2,4,5,5,5,5,5,4,5,5,5,24,2,89,US
35430,4,2,3,1,4,4,3,3,1,4,3,3,4,5,3,3,3,1,4,5,4,4,25,1,65,US
35431,3,2,4,4,4,4,3,4,4,4,2,2,3,4,4,2,3,2,1,4,4,2,41,2,80,US
35432,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,4,4,5,5,5,25,1,85,US
35433,3,2,4,1,2,5,2,1,4,2,2,2,1,2,4,2,2,2,2,2,1,2,52,2,100,BR
35434,4,2,4,3,3,4,4,3,4,3,2,2,3,4,4,4,3,4,4,4,4,3,52,0,90,US
35435,5,4,5,4,5,5,4,5,4,4,4,4,4,5,5,3,5,4,4,4,2,3,23,1,95,CA
35436,4,4,5,2,2,3,3,4,4,1,1,1,3,4,4,4,3,3,2,5,5,2,17,1,50,CA
35437,3,0,0,0,2,3,4,0,0,0,4,2,2,2,4,3,4,4,1,1,2,2,26,2,40,US
35438,5,5,4,4,4,4,4,5,5,2,4,2,4,4,5,4,5,2,2,1,2,2,22,1,70,US
35439,5,5,4,2,2,4,4,4,5,3,5,2,4,4,4,4,5,2,3,4,4,2,19,1,88,US
35440,5,5,5,4,5,5,5,5,5,5,5,1,4,5,5,5,5,4,3,5,0,3,19,2,50,US
35441,5,2,2,5,5,5,2,5,2,1,4,2,5,5,5,5,5,5,2,4,5,4,47,1,85,US
35443,4,5,3,3,2,3,4,2,5,2,1,1,1,1,5,4,3,4,4,4,2,2,18,2,85,CA
35444,4,3,2,2,3,4,4,2,3,3,2,2,2,4,3,3,2,2,2,4,3,3,26,1,80,US
35445,4,2,4,2,4,4,2,4,5,4,4,2,3,5,4,2,1,3,4,4,3,2,31,1,100,US
35446,4,4,5,5,4,5,5,2,5,1,5,1,5,5,5,5,3,4,4,4,3,3,38,1,75,US
35447,1,2,3,1,1,2,4,1,1,1,1,1,1,4,3,2,1,1,2,3,4,2,32,2,76,US
35448,4,2,3,2,4,3,2,3,4,2,4,4,4,4,4,2,2,2,4,4,4,2,27,1,95,US
35449,3,4,4,3,2,4,4,3,4,1,4,3,4,4,4,3,4,4,3,5,4,2,25,2,65,AU
35450,4,2,4,3,2,4,3,3,2,3,1,1,3,5,3,3,2,2,4,5,2,1,26,2,50,US
35451,4,2,3,2,4,4,2,4,2,3,3,2,2,4,4,4,2,2,4,4,4,3,34,1,85,CA
35452,1,4,3,1,1,2,4,1,4,1,1,1,1,1,4,3,2,1,1,4,2,1,27,2,50,US
35453,4,4,4,2,4,2,5,4,4,4,4,2,3,4,3,4,2,2,2,4,4,2,41,1,78,CA
35454,3,2,2,1,2,5,4,1,1,2,1,2,3,4,4,2,4,1,2,4,4,1,22,1,90,US
35455,3,4,3,4,2,2,4,2,4,1,2,2,1,3,5,4,4,3,4,4,3,2,32,1,95,US
35456,4,3,2,3,4,4,2,4,2,2,4,3,4,4,4,2,3,4,4,4,4,3,23,2,95,US
35457,4,3,4,2,5,5,5,5,4,4,4,2,4,3,5,5,3,4,3,5,5,3,32,2,98,US
35458,4,5,4,2,4,5,5,5,4,4,4,1,4,4,3,3,4,3,4,1,4,4,38,1,65,CA
35459,5,4,5,4,4,5,5,4,5,4,2,3,4,4,5,5,5,4,2,2,3,2,32,2,90,CA
35460,5,1,5,5,5,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,26,1,100,US
35461,4,5,5,1,3,1,5,3,5,1,1,1,1,2,5,4,4,3,1,4,4,3,14,2,89,US
35462,3,4,4,1,2,3,3,2,4,1,1,4,2,4,4,4,4,3,1,4,3,2,35,1,85,AU
35463,0,0,0,0,0,0,4,0,0,0,2,4,0,0,4,3,0,0,2,4,0,0,19,1,50,AU
35464,5,4,3,4,4,5,5,4,4,5,4,4,5,4,5,4,4,2,4,4,4,3,54,1,85,US
35465,4,4,4,2,2,4,4,4,2,1,2,1,2,2,2,1,1,2,2,4,4,1,48,2,50,US
35466,4,1,5,2,5,5,1,4,5,4,2,4,4,3,1,1,1,4,4,5,5,4,14,1,100,US
35467,4,4,4,3,4,4,4,4,4,3,2,3,3,4,4,4,4,3,4,4,4,3,46,1,75,US
35468,5,2,4,5,5,4,2,5,4,4,5,4,2,3,5,5,5,2,5,5,5,5,16,1,95,US
35469,2,2,2,4,1,2,2,1,2,1,1,2,2,4,4,4,4,2,2,4,4,2,30,2,90,AU
35470,4,4,4,2,3,4,4,4,4,3,2,2,2,4,4,4,4,3,3,4,4,2,40,1,85,AU
35471,4,4,2,1,0,3,3,4,2,4,2,3,3,1,4,3,5,4,3,4,3,1,17,1,85,US
35472,5,3,3,3,5,5,3,5,5,2,3,3,5,5,5,5,5,4,5,4,5,4,27,1,95,US
35473,4,5,5,2,1,4,4,1,4,2,4,1,1,5,5,2,1,4,5,5,2,1,23,2,90,BR
35474,4,5,1,3,4,5,5,4,4,4,4,4,4,5,5,3,5,4,3,3,4,3,21,1,92,US
35475,4,3,5,2,5,4,4,4,2,4,5,4,5,5,4,4,5,3,4,4,4,4,14,2,93,US
35476,2,4,4,1,1,4,4,1,2,1,1,1,1,4,2,2,1,1,1,2,1,1,30,2,95,US
35477,3,5,5,3,5,3,2,4,5,5,5,3,5,3,5,1,2,4,4,4,4,3,21,1,50,US
35478,4,1,4,2,5,4,1,3,5,4,4,4,5,5,5,3,4,3,3,5,3,3,18,1,80,US
35479,2,4,3,2,4,4,5,1,2,1,4,2,4,2,4,4,4,1,2,4,2,2,30,1,9,US
35480,4,2,4,3,4,4,4,4,4,5,4,4,4,5,2,2,2,4,4,5,5,4,19,1,95,US
35481,2,1,2,3,3,5,1,2,3,2,5,5,2,3,4,3,2,2,4,5,4,3,15,1,96,US
35482,5,4,2,5,2,5,3,2,5,4,2,1,1,4,5,5,4,4,4,3,4,2,20,1,80,IN
35483,2,4,4,4,4,3,4,4,4,3,2,2,3,4,3,2,3,2,2,4,2,2,22,1,75,US
35485,4,4,2,2,1,3,4,3,4,1,1,1,1,4,5,5,4,2,4,4,4,2,32,2,50,GB
35487,5,1,1,5,5,5,1,5,5,5,5,5,5,4,4,4,5,5,4,4,5,4,18,2,100,US
35488,3,4,5,4,4,4,4,1,5,1,2,2,2,2,4,1,5,3,1,4,4,1,26,1,99,CA
35489,5,2,5,2,2,4,4,3,2,3,4,2,1,5,5,4,2,2,2,4,2,2,19,1,80,US
35490,4,3,4,4,4,4,4,4,4,3,2,3,3,4,5,3,3,2,4,4,3,3,17,1,78,GB
35491,3,3,4,1,2,3,4,3,2,2,1,2,2,4,4,3,2,2,1,3,3,1,28,1,90,US
35492,1,1,1,1,1,5,4,1,1,1,1,1,1,2,5,2,4,1,1,1,2,1,17,1,100,US
35493,2,4,5,1,2,3,4,1,4,1,1,1,1,3,4,4,1,1,1,4,1,1,22,2,50,US
35494,5,5,3,3,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,5,20,1,90,US
35495,5,5,5,3,4,5,5,5,4,3,2,1,5,4,5,4,5,3,3,2,5,2,25,2,60,AU
35496,3,4,4,1,2,4,3,2,4,2,3,2,4,2,5,5,4,4,4,2,4,2,29,2,95,PH
35497,4,1,4,3,1,4,5,4,1,3,1,1,2,3,1,4,4,4,4,2,2,1,29,2,80,PH
35498,2,2,4,3,4,4,4,2,3,3,3,3,2,5,3,2,3,3,3,2,2,2,18,2,99,PH
35499,3,4,2,3,5,4,4,4,5,4,4,4,4,5,4,4,5,4,3,5,4,3,22,1,82,PH
35500,4,2,4,4,4,4,2,4,4,2,4,4,4,5,2,1,2,2,2,4,2,2,21,1,80,US
35501,5,3,4,4,4,4,4,4,4,3,2,3,4,5,5,4,5,3,4,5,5,4,19,1,75,CA
35502,5,1,1,1,5,5,5,2,5,1,5,4,1,5,5,5,5,4,5,5,5,5,18,1,100,AU
35503,4,2,1,2,2,2,4,2,1,1,2,2,2,4,5,4,5,2,4,4,5,4,26,1,70,GB
35504,4,4,2,4,4,5,4,4,4,4,3,2,4,5,5,2,5,2,4,4,2,3,32,1,80,GB
35505,4,4,4,2,4,3,4,3,4,4,2,2,4,5,4,3,3,3,2,4,4,3,57,1,50,IE
35506,5,4,5,2,4,5,5,4,5,4,4,4,3,4,5,4,3,4,4,5,5,3,32,1,50,GB
35507,4,1,4,5,3,4,2,4,4,5,5,4,4,4,5,5,5,4,4,5,4,4,18,1,80,US
35508,4,4,3,3,2,4,4,4,4,2,3,2,3,0,4,3,4,4,3,4,4,2,59,1,80,US
35509,5,3,2,3,2,4,4,5,4,2,1,3,4,4,2,2,3,4,4,4,4,3,23,1,98,US
35510,2,2,2,2,2,3,1,2,2,2,1,2,4,2,2,2,2,2,2,4,3,2,52,1,92,US
35512,4,2,4,4,5,4,2,5,4,5,5,5,4,5,4,2,3,4,3,5,4,4,21,1,70,NZ
35513,2,1,2,2,4,4,4,5,5,2,1,2,4,5,4,4,2,2,4,5,4,2,17,1,80,US
35514,3,2,3,2,2,4,3,1,4,2,2,1,2,4,4,4,4,3,2,4,2,1,34,1,75,US
35515,4,3,4,3,3,4,4,2,4,2,3,0,3,0,4,4,3,2,4,2,2,2,61,2,91,US
35516,5,3,4,4,5,4,4,3,4,3,5,4,5,4,5,4,5,4,5,5,5,4,22,1,95,US
35517,2,1,2,2,2,4,4,3,4,2,3,3,4,4,2,3,3,3,3,3,3,0,35,1,70,FI
35518,4,2,4,4,2,2,3,2,4,2,1,1,1,3,5,4,3,2,2,4,3,2,49,2,100,GB
35519,4,5,5,0,3,5,4,4,5,4,5,4,5,5,5,3,3,2,4,4,4,4,13,2,85,US
35520,5,5,5,4,2,5,4,5,5,5,2,3,4,3,5,5,5,3,1,3,4,2,20,2,55,US
35521,3,2,1,2,1,1,3,3,1,1,2,2,3,5,4,4,4,4,5,5,3,3,25,2,30,DE
35522,2,3,4,3,2,3,4,3,3,2,3,2,2,4,2,4,3,2,2,3,2,2,36,2,85,FI
35523,5,1,3,4,4,5,2,3,5,3,4,4,4,5,5,3,5,3,4,5,4,4,15,1,90,US
35524,4,5,4,5,3,5,4,4,5,4,2,2,4,5,5,5,4,3,3,4,3,3,15,2,70,GB
35525,5,4,4,2,5,5,5,4,5,2,1,3,3,4,4,2,4,4,2,2,4,2,31,1,75,FI
35526,5,5,5,5,5,0,5,5,5,5,5,4,5,5,5,4,4,5,5,5,3,5,56,1,100,DE
35527,2,2,2,2,4,4,2,2,2,4,4,2,3,5,2,2,2,3,4,4,4,4,33,1,90,GB
35528,4,5,4,4,4,4,4,4,4,3,1,2,4,2,1,1,1,1,2,4,4,3,42,1,70,GB
35529,2,3,2,2,4,3,2,2,4,2,2,2,2,2,4,3,2,2,4,4,4,2,46,2,95,US
35531,5,5,5,3,5,4,5,5,5,2,4,2,3,3,4,4,4,3,4,4,4,3,45,1,90,GB
35532,3,2,3,4,4,3,4,4,4,3,4,2,2,2,4,4,3,3,4,2,4,4,36,1,80,FI
35533,4,4,4,3,3,4,4,4,3,2,3,1,3,3,3,3,2,3,2,2,4,2,19,2,7,PH
35534,4,4,3,0,4,5,5,5,4,3,4,5,3,0,5,4,0,2,4,5,3,3,28,1,90,GB
35535,1,1,3,2,3,2,2,2,2,2,1,1,2,2,1,3,1,2,1,3,3,1,24,1,100,GB
35536,4,4,2,4,2,4,5,2,4,2,2,2,2,4,5,4,4,2,4,4,4,2,28,2,80,US
35537,4,4,4,4,4,3,4,4,1,1,1,2,2,4,3,3,3,2,4,5,4,2,25,2,80,GB
35538,4,2,4,5,4,5,3,2,5,2,4,4,5,5,4,4,5,2,5,5,4,4,24,1,95,GB
35539,2,4,2,2,4,4,1,3,4,2,1,2,2,2,3,3,2,2,3,4,4,2,21,1,75,IE
