,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country,HSNScale
129,5,5,5,4,3,4,4,3,5,2,1,1,2,4,5,5,3,3,4,3,2,2,22,2,20,IN,0.76
130,4,4,2,4,4,4,4,1,2,4,4,2,4,5,4,3,3,2,3,4,2,2,26,2,90,US,0.58
131,2,5,3,2,3,4,4,2,4,1,3,2,3,4,1,1,1,2,2,2,1,2,35,1,100,US,0.58
132,5,4,1,4,5,5,4,4,4,5,4,3,4,5,2,2,2,2,3,2,2,2,22,1,80,CA,0.72
133,5,3,2,5,5,3,2,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,20,2,100,US,0.68
134,5,5,5,2,4,5,5,5,5,4,4,1,5,5,5,2,1,2,3,5,4,4,18,1,85,GB,0.82
135,4,3,5,3,4,4,5,4,3,1,4,5,5,5,3,4,3,4,3,5,3,2,17,1,70,GB,0.7
136,4,3,4,1,3,5,4,4,2,3,3,3,3,2,4,4,3,2,4,4,3,2,23,2,86,FI,0.6
137,4,2,4,2,2,4,4,2,4,4,5,4,5,5,4,4,2,2,2,4,4,2,24,1,95,US,0.56
138,2,2,2,0,2,2,3,2,1,2,2,2,3,3,4,4,2,2,4,4,4,2,22,2,20,CA,0.32
139,5,1,3,4,5,5,3,5,5,5,4,4,4,5,5,3,5,1,2,5,5,1,23,1,92,US,0.72
140,3,3,4,3,4,4,5,3,5,2,2,3,3,1,4,3,4,2,3,4,3,3,23,2,80,RO,0.68
141,5,2,0,3,3,4,3,5,4,3,5,5,4,4,5,5,5,4,5,5,5,4,25,2,100,US,0.58
142,5,4,5,4,5,4,2,5,5,4,4,5,4,5,5,4,5,4,4,4,5,4,15,1,95,AU,0.78
143,3,2,4,2,2,5,3,2,2,3,5,2,4,5,4,4,3,1,2,5,3,3,15,2,80,US,0.5
144,5,5,5,2,3,5,5,5,5,4,1,2,3,5,1,1,4,3,4,4,2,3,14,1,75,GB,0.8
145,4,4,4,2,3,4,4,2,4,1,1,2,2,3,3,1,1,2,2,3,1,1,23,2,80,US,0.62
146,4,5,5,4,4,4,5,4,5,3,4,4,4,4,5,5,2,4,3,4,3,2,31,2,89,US,0.8
147,3,2,4,4,5,4,3,4,4,2,4,5,4,5,4,4,4,4,5,5,5,4,27,1,90,IN,0.66
148,1,5,1,1,2,3,5,5,4,1,2,4,4,2,4,4,1,4,5,5,5,3,35,2,90,US,0.54
149,5,4,2,4,4,5,3,2,5,1,4,1,1,5,5,2,4,2,4,4,4,4,26,1,85,US,0.68
150,2,1,5,2,3,4,2,2,4,2,1,2,1,4,3,1,1,2,3,4,1,2,20,2,100,US,0.5
151,4,4,2,2,2,4,4,4,4,4,2,2,2,5,4,4,1,3,5,4,2,3,25,1,80,RU,0.6
152,5,3,3,2,4,5,4,5,5,3,4,2,4,5,3,4,4,3,4,2,5,4,34,2,70,SE,0.72
153,4,4,4,4,2,4,3,3,4,1,2,1,4,4,4,4,1,3,2,1,2,2,28,2,80,DE,0.64
154,4,5,5,5,4,5,3,4,5,2,4,4,3,5,5,4,4,4,2,2,2,2,17,2,100,GB,0.8
155,5,4,4,1,3,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,3,1,29,2,90,GB,0.54
156,5,5,4,3,2,4,5,3,4,2,2,2,2,3,4,3,3,2,2,4,2,2,36,2,50,GB,0.7
157,2,3,3,3,2,4,4,2,5,1,2,1,2,4,3,2,2,2,2,3,2,2,20,2,100,US,0.56
158,4,1,4,2,1,5,2,1,2,3,4,1,5,5,4,4,5,4,5,5,5,4,20,1,100,US,0.44
159,4,3,2,3,4,5,2,3,4,2,3,2,4,4,4,4,3,2,2,3,2,2,25,1,70,US,0.6
160,4,1,1,2,5,4,3,2,2,3,4,3,4,4,2,2,2,1,4,4,4,4,22,1,100,US,0.48
161,4,4,5,2,3,4,3,4,4,2,1,1,3,4,2,2,2,3,1,1,2,1,51,2,92,AU,0.66
162,1,2,2,1,1,1,4,1,1,1,1,1,2,4,3,4,1,1,1,4,3,1,20,1,75,US,0.28
163,5,5,3,5,5,5,5,5,5,4,4,4,5,5,4,3,5,5,5,5,5,5,20,2,95,CA,0.86
164,3,3,3,2,5,4,3,2,4,1,3,1,4,3,3,3,3,3,3,2,3,2,52,1,90,CA,0.58
165,3,2,2,1,3,4,2,4,1,2,4,4,4,4,1,1,1,2,3,4,2,2,57,1,70,FI,0.44
166,5,4,2,3,3,4,2,1,4,1,4,4,4,5,4,3,4,3,5,5,4,4,15,2,75,AU,0.56
167,5,5,3,5,5,5,4,5,5,3,4,4,4,5,5,4,3,5,4,4,5,4,55,1,100,GB,0.84
168,4,5,4,2,2,4,5,2,4,2,1,2,2,2,4,4,2,2,4,4,4,2,15,2,90,US,0.64
169,5,2,5,3,5,5,2,2,5,4,5,4,5,5,2,3,4,4,5,4,3,3,15,1,85,BR,0.68
170,4,5,4,5,3,3,4,3,4,2,3,3,2,5,5,4,4,4,1,5,3,3,20,2,75,US,0.7
171,3,2,4,3,3,5,4,3,4,2,4,2,4,4,4,2,2,2,4,4,1,3,19,1,90,US,0.62
172,4,3,4,4,2,2,4,4,5,3,4,2,4,4,5,4,5,4,4,5,4,4,15,1,100,US,0.64
173,1,3,5,3,1,5,5,1,4,1,1,1,2,3,5,5,1,3,3,4,5,1,32,2,50,US,0.56
