,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,HSNScale,US/OTHER
233,5,5,5,3,4,4,4,4,4,3,2,2,2,2,5,1,1,2,2,4,2,1,19,2,95,0.76,0
234,4,3,4,5,5,5,4,5,5,4,4,4,3,4,5,5,5,4,4,5,5,4,19,1,100,0.8,0
235,3,2,4,2,2,5,2,4,3,3,1,1,4,4,3,1,1,2,4,2,2,4,24,1,85,0.54,0
236,5,2,3,4,4,4,4,5,5,4,4,1,4,5,5,4,4,2,3,3,3,3,24,1,50,0.72,0
237,5,3,5,4,5,4,5,4,5,2,2,4,3,5,5,5,4,1,4,5,5,3,26,2,80,0.8,1
238,3,2,1,1,2,4,1,1,4,4,1,1,4,4,2,1,1,1,4,4,2,1,34,1,90,0.38,0
239,4,2,2,4,3,4,4,4,4,2,1,1,3,4,5,4,2,2,3,2,4,2,36,2,90,0.62,0
240,4,4,5,1,2,5,4,2,4,2,2,1,4,3,3,5,4,1,1,2,1,1,29,2,95,0.62,1
241,4,2,4,2,4,4,4,3,3,1,3,1,1,2,4,4,2,2,2,4,2,1,18,2,89,0.6,0
242,5,1,5,1,5,5,5,5,5,5,3,3,5,3,5,1,3,5,4,3,2,3,23,1,80,0.74,0
243,3,1,3,3,4,4,2,4,5,3,4,2,3,5,1,1,2,1,4,4,4,3,20,1,60,0.58,0
244,2,3,5,4,5,5,3,5,4,4,5,5,5,5,4,4,3,2,4,4,4,3,29,1,90,0.72,0
245,4,3,2,4,4,5,1,5,5,4,4,5,5,5,5,2,5,3,4,4,5,4,20,1,100,0.66,1
247,2,2,2,2,2,4,2,2,2,4,4,1,4,5,3,4,2,1,2,2,4,2,43,1,85,0.4,1
248,4,2,4,3,3,3,2,3,3,4,2,2,2,4,2,3,2,5,3,4,4,2,50,1,95,0.54,0
249,5,5,5,4,2,5,5,2,5,1,4,5,4,4,5,5,5,4,3,5,2,3,19,2,70,0.76,1
250,5,1,2,2,5,5,1,5,2,5,2,1,5,5,4,2,3,3,2,1,2,1,42,2,90,0.56,0
251,2,4,2,2,5,5,4,5,4,5,2,2,5,4,2,1,1,2,1,4,1,1,55,1,95,0.66,0
252,3,4,4,2,2,4,4,1,4,1,2,2,2,2,4,4,2,2,1,3,1,2,19,2,70,0.56,1
